!Clamp R On && ! Active eCall On && !RST	!Clamp R On && ! Active eCall On && !RST
% Tastverhaeltnis	% duty cycle
% Tastverhältnis	% duty cycle
4AE0 E-Boxluefter, Ansteuerung	4AE0 E-box fan, actuation
4AE1 E-Boxluefter, Ansteuerung	4AE1 E-box fan, actuation
4AE2 E-Boxluefter, Ansteuerung	4AE2 E-box fan, actuation
4AE3 E-Boxluefter, Ansteuerung	4AE3 E-box fan, actuation
4AE5 Nullmengenadaption Injektor Zylinder 2	4AE5 Zero-quantity adaptation injector cylinder 2
4AE6 Nullmengenadaption Injektor Zylinder 2	4AE6 Zero-quantity adaptation injector cylinder 2
4AF0 Steuergeraetetemperatursensor, Signal	4AF0 Control unit temperature sensor, signal
4AF1 Steuergeraetetemperatursensor, Signal	4AF1 Control unit temperature sensor, signal
4AF5 Nullmengenadaption Injektor Zylinder 3	4AF5 Zero-quantity adaptation injector cylinder 3
4AF6 Nullmengenadaption Injektor Zylinder 3	4AF6 Zero-quantity adaptation injector cylinder 3
4B00 Steuergeraetetemperatur	4B00 Control unit temperature
4B05 Nullmengenadaption Injektor Zylinder 4	4B05 Zero-quantity adaptation injector cylinder 4
4B06 Nullmengenadaption Injektor Zylinder 4	4B06 Zero-quantity adaptation injector cylinder 4
4B10 (1278) Laufruheregler	4B10 (1278) Smooth-running controller
4B11 (1279) Laufruheregler	4B11 (1279) Smooth-running controller
4B15 Nullmengenadaption Injektor Zylinder 5	4B15 Zero-quantity adaptation injector cylinder 5
4B16 Nullmengenadaption Injektor Zylinder 5	4B16 Zero-quantity adaptation injector cylinder 5
4B20 Elektroluefter	4B20 Electric fan
4B22 Elektroluefter	4B22 Electric fan
4B25 Nullmengenadaption Injektor Zylinder 6	4B25 Zero-quantity adaptation injector cylinder 6
4B26 Nullmengenadaption Injektor Zylinder 6	4B26 Zero-quantity adaptation injector cylinder 6
4B30 Elektroluefter 2 (nv)	4B30 Electric fan 2 (nv)
4B32 Elektroluefter 2 (nv)	4B32 Electric fan 2 (nv)
4B40 Elektroluefter 3 (nv)	4B40 Electric fan 3 (nv)
4B42 Elektroluefter 3 (nv)	4B42 Electric fan 3 (nv)
4B50 Mengenabgleich	4B50 Quantity balancing
4B60 Mengendriftkompensation	4B60 Quantity drift compensation
4B80 Raildruck-Plausibilitaet mengengeregelt (nv)	4B80 Rail pressure plausibility quantity-controlled (nv)
4B90 Raildruckueberwachung bei Motorstart	4B90 Rail pressure monitoring at engine start
4BA0 (0113) Ansauglufttemperatursensor, Signal	4BA0 (0113) Intake air temperature sensor, signal
4BA1 (0112) Ansauglufttemperatursensor, Signal	4BA1 (0112) Intake air temperature sensor, signal
4BB0 (3269) Versorgungsspannung Luftmassenmesser	4BB0 (3269) Supply voltage air mass meter
4BB1 (3270) Versorgungsspannung Luftmassenmesser	4BB1 (3270) Supply voltage air mass meter
4BB5 (3273) Luftmassenmesser	4BB5 (3273) Air mass meter
4BB6 (3274) Luftmassenmesser	4BB6 (3274) Air mass meter
4BB7 Luftmassenmesser	4BB7 Air mass meter
4BC0 (0102) Luftmassenmesser	4BC0 (0102) Air mass meter
4BC1 (0103) Luftmassenmesser	4BC1 (0103) Air mass meter
4BC2 (0101) Luftmassenmesser	4BC2 (0101) Air mass meter
4BC5 Ansauglufttemperatursensor  (Referenzsignal fuer Luftmassenmesser)	4BC5 Intake air temperature sensor (reference signal for air mass meter)
4BC6 Ansauglufttemperatursensor  (Referenzsignal fuer Luftmassenmesser)	4BC6 Intake air temperature sensor (reference signal for air mass meter)
4BC7 Ansauglufttemperatursensor  (Referenzsignal fuer Luftmassenmesser)	4BC7 Intake air temperature sensor (reference signal for air mass meter)
4BD2 Drehmomentanforderung ARS	4BD2 Torque request ARS
4BD5 Motorlager, Ansteuerung	4BD5 Engine mount, actuation
4BD6 Motorlager, Ansteuerung	4BD6 Engine mount, actuation
4BD7 Motorlager, Ansteuerung	4BD7 Engine mount, actuation
4BD8 Motorlager, Ansteuerung	4BD8 Engine mount, actuation
4BE2 Botschaft (GEARBX_DATA, 0xBA)	4BE2 Message (GEARBX_DATA, 0xBA)
4BE3 Botschaft (GEARBX_DATA, 0xBA)	4BE3 Message (GEARBX_DATA, 0xBA)
4BE7 Botschaft (GEARBX_DATA2, 0x1A2)	4BE7 Message (GEARBX_DATA2, 0x1A2)
4BE8 Botschaft (GEARBX_DATA2, 0x1A2)	4BE8 Message (GEARBX_DATA2, 0x1A2)
4BF2 Botschaft (HEAT_AC, 0x1B5)	4BF2 Message (HEAT_AC, 0x1B5)
4BF3 Botschaft (HEAT_AC, 0x1B5)	4BF3 Message (HEAT_AC, 0x1B5)
4BF7 Botschaft (MILEAGE_RANGE, 0x330)	4BF7 Message (MILEAGE_RANGE, 0x330)
4BF8 Botschaft (MILEAGE_RANGE, 0x330)	4BF8 Message (MILEAGE_RANGE, 0x330)
4C00 Botschaft (OP_CRCTLACC, 0x194)	4C00 Message (OP_CRCTLACC, 0x194)
4C01 Botschaft (OP_CRCTLACC, 0x194)	4C01 Message (OP_CRCTLACC, 0x194)
4C02 Botschaft (OP_CRCTLACC, 0x194)	4C02 Message (OP_CRCTLACC, 0x194)
4C03 Botschaft (OP_CRCTLACC, 0x194)	4C03 Message (OP_CRCTLACC, 0x194)
4C06 Botschaft (STAT_ARS, 0x1AC)	4C06 Message (STAT_ARS, 0x1AC)
4C07 Botschaft (STAT_ARS, 0x1AC)	4C07 Message (STAT_ARS, 0x1AC)
4C08 Botschaft (STAT_ARS, 0x1AC)	4C08 Message (STAT_ARS, 0x1AC)
4C12 Botschaft (STAT_DSC, 0x19E)	4C12 Message (STAT_DSC, 0x19E)
4C13 Botschaft (STAT_DSC, 0x19E)	4C13 Message (STAT_DSC, 0x19E)
4C15 Botschaft (TERMINAL, 0x130)	4C15 Message (TERMINAL, 0x130)
4C16 Botschaft (TERMINAL, 0x130)	4C16 Message (TERMINAL, 0x130)
4C17 Botschaft (TERMINAL, 0x130)	4C17 Message (TERMINAL, 0x130)
4C18 Botschaft (TERMINAL, 0x130)	4C18 Message (TERMINAL, 0x130)
4C20 Botschaft (TORQUE_DSC, 0xB6)	4C20 Message (TORQUE_DSC, 0xB6)
4C21 Botschaft (TORQUE_DSC, 0xB6)	4C21 Message (TORQUE_DSC, 0xB6)
4C22 Botschaft (TORQUE_DSC, 0xB6)	4C22 Message (TORQUE_DSC, 0xB6)
4C23 Botschaft (TORQUE_DSC, 0xB6)	4C23 Message (TORQUE_DSC, 0xB6)
4C27 Botschaft (VELOCITY, 0x1A0)	4C27 Message (VELOCITY, 0x1A0)
4C28 Botschaft (VELOCITY, 0x1A0)	4C28 Message (VELOCITY, 0x1A0)
4C40 Partikelfilterheizung, Ansteuerung	4C40 Particulate filter heating, actuation
4C41 Partikelfilterheizung, Ansteuerung	4C41 Particulate filter heating, actuation
4C42 Partikelfilterheizung, Ansteuerung	4C42 Particulate filter heating, actuation
4C43 Partikelfilterheizung, Ansteuerung	4C43 Particulate filter heating, actuation
4C80 MFC error path for Misfire cylinder 6 (nv)	4C80 MFC error path for Misfire cylinder 6 (nv)
4C90 MFC error path for Misfire cylinder 7 (nv)	4C90 MFC error path for Misfire cylinder 7 (nv)
4CE0 Partikelfiltersystem	4CE0 Particulate filter system
4CF3 Abgasgegendrucksensor, Signal	4CF3 Exhaust back-pressure sensor, signal
4D00 Abgasgegendrucksensor	4D00 Exhaust back-pressure sensor
4D01 Abgasgegendrucksensor	4D01 Exhaust back-pressure sensor
4D03 Abgasgegendrucksensor	4D03 Exhaust back-pressure sensor
4D13 Partikelfiltersystem	4D13 Particulate filter system
4D23 Partikelfiltersystem	4D23 Particulate filter system
4D40 Partikelfiltersystem	4D40 Particulate filter system
4D73 Partikelfiltersystem	4D73 Particulate filter system
4DF0 Botschaft (TORQUE_GEARBX, 0xB5)	4DF0 Message (TORQUE_GEARBX, 0xB5)
4DF1 Botschaft (TORQUE_GEARBX, 0xB5)	4DF1 Message (TORQUE_GEARBX, 0xB5)
4DF2 Botschaft (TORQUE_GEARBX, 0xB5)	4DF2 Message (TORQUE_GEARBX, 0xB5)
4DF3 Botschaft (TORQUE_GEARBX, 0xB5)	4DF3 Message (TORQUE_GEARBX, 0xB5)
5 = Vorwarnung End of Drive	5 = pre-warning End of Drive
5 Adaption oberer Anschlag	5 Adaptation upper stop
5 FGR Taste +	5 Cruise control button +
5 Feinleck Messung Start	5 Fine leak measurement start
5 Funktion noch nicht gestartet	5 Function not yet started
5 Generation	5th generation
5 ML-Plausi IO	5 ML plausibility OK
5 Modus	5 mode
5 Motor blockiert und Zündung ein	5 Engine blocked and ignition on
5 PUC - Motor im Schubbetrieb mit Einspritzabschaltung	5 PUC - engine in overrun with injection cutoff
5 Regelung EIN mit Einschraenkung (Sensor Fehler)	5 Control ON with restriction (sensor fault)
5 Ruhestrom 80 bis 200mA aktiv, Standverbraucher Licht aktiv	5 quiescent current 80 to 200mA active, standing load light active
5 SW Referenz: MU sendet falschen Varianten code	5 SW reference: MU sends incorrect variant code
5 Sterne	5 stars
5 Systemtest SLS Ventil Diagnose	5 System test SLS valve diagnosis
5 Systemtest SLS beendet	5 System test SLS finished
5 Systemtest Sekundärluft nicht aktiv	5 System test secondary air not active
5 Systemtest ist nicht gestartet	5 System test not started
5 Tankentlüftung Maximum	5 Tank ventilation maximum
5 Timeout Fehler Maximum	5 Timeout error maximum
5 V Supply 1	5 V supply 1
5 Volt	5 volts
5 Volt + AL_L + AL_R + BLK_L ein	5 volts + AL_L + AL_R + BLK_L on
5 Volt + AL_L + AL_R + BLK_R ein	5 volts + AL_L + AL_R + BLK_R on
5 Volt + AL_L + AL_R ein	5 volts + AL_L + AL_R on
5 Volt + AL_L + BLK_L ein	5 volts + AL_L + BLK_L on
5 Volt + AL_L + BLK_R ein	5 volts + AL_L + BLK_R on
5 Volt + AL_L ein	5 volts + AL_L on
5 Volt + AL_R + BLK_L ein	5 volts + AL_R + BLK_L on
5 Volt + AL_R + BLK_R ein	5 volts + AL_R + BLK_R on
5 Volt + AL_R ein	5 volts + AL_R on
5 Volt + BLK_L + BLK_R + AL_L + AL_R ein	5 volts + BLK_L + BLK_R + AL_L + AL_R on
5 Volt + BLK_L + BLK_R + AL_L ein	5 volts + BLK_L + BLK_R + AL_L on
5 Volt + BLK_L + BLK_R + AL_R ein	5 volts + BLK_L + BLK_R + AL_R on
5 Volt + BLK_L + BLK_R ein	5 volts + BLK_L + BLK_R on
5 Volt + BLK_L ein	5 volts + BLK_L on
5 Volt + BLK_R ein	5 volts + BLK_R on
5 km/h	5 km/h
5 mm Weg in Hebebereich	5 mm travel in lift range
5 mm Weg in Hebebereich abfragen       / setzen	5 mm travel in lift range query / set
5. Gang	5th gear
5. Programm	5th program
5.ter Gang	5th gear
5.ter Gang: Position nicht plausibel	5th gear: position not plausible
5/5 plausible Messungen	5/5 plausible measurements
5/6 Gassenposition nicht plausibel	5/6 gate position not plausible
50 km/h	50 km/h
50 ms Loop Completion Time Fault	50 ms loop completion time fault
50% Availability	50% availability
50% Taktung	50% duty cycle
500 Hz	500 Hz
5039 U/min bis 6718 U/min	5039 rpm to 6718 rpm
50: Ausrollen	50: coast down
50: OutOfRange_CodingParameter	50: OutOfRange_CodingParameter
50: Stromrampe für statorfeste Sollposition 90°	50: current ramp for stator-fixed target position 90°
50ms   Zykluszeit	50ms cycle time
51: EmOdoClientEgoMotion_Unavailable	51: EmOdoClientEgoMotion_Unavailable
524 (ADAPTIVES KURVENLICHT)	524 (ADAPTIVE CORNERING LIGHT)
52: EmOdoClientEgoMotion_ErrorInvalidBits	52: EmOdoClientEgoMotion_ErrorInvalidBits
53 km/h	53 km/h
53: Invalid_ApplicationParameter	53: Invalid_ApplicationParameter
549 ZWD klemmt	549 ZWD sticking
54: Invalid_CodingParameter	54: Invalid_CodingParameter
552 (ADAPTIVER LED SCHEINWERFER MATRIX)	552 (ADAPTIVE LED MATRIX HEADLIGHT)
552 (ADAPTIVER LED SCHEINWERFER)	552 (ADAPTIVE LED HEADLIGHT)
56 km/h	56 km/h
59 km/h	59 km/h
5: ComError_Timestamp	5: ComError_Timestamp
5: EmObjDesc_EM_Reduced_LngsbschlSchwpkt	5: EmObjDesc_EM_Reduced_LngsbschlSchwpkt
5: Implausible_LaneBoundariesInput	5: Implausible_LaneBoundariesInput
5: Invalid_CodingParameter	5: Invalid_CodingParameter
5: OutOfRange_FreeSpaceRadarLeftSegmentData_StatusMeasurement	5: OutOfRange_FreeSpaceRadarLeftSegmentData_StatusMeasurement
5: Reduced_TemperatureInput	5: Reduced_TemperatureInput
5: Unavailable_LaneBoundariesValidatedInput	5: Unavailable_LaneBoundariesValidatedInput
5: Unavailable_RoadForeSightInput	5: Unavailable_RoadForeSightInput
5: Unavailable_RoadForeSightStraightInput	5: Unavailable_RoadForeSightStraightInput
5A2 (LED SCHEINWERFER)	5A2 (LED HEADLIGHT)
5A4 (LED SCHEINWERFER MIT ERWEITERTEN FUNKTIONEN)	5A4 (LED HEADLIGHT WITH EXTENDED FUNCTIONS)
5AZ (LASERLICHT SCHEINWERFER)	5AZ (LASER LIGHT HEADLIGHT)
5V SENSOR freigegeben                     .PIN 4,PORT P6.3	5V SENSOR enabled                     .PIN 4,PORT P6.3
5V Sensor Enable            			 	.PIN 120,PORT P5.10	5V Sensor Enable            			 	.PIN 120,PORT P5.10
5V Spannungsversorgung	5V power supply
5V Spannungsversorgung CD-Player	5V power supply CD player
5V Versorgung fuer CD-player defekt	5V supply for CD player defective
5V Versorgung fuer NAV-Rechner defekt	5V supply for navigation computer defective
5V0 Sensorausgänge	5V0 sensor outputs
5V_SENSOR                   		.PIN 84,PORT P3.15	5V_SENSOR                   		.PIN 84,PORT P3.15
5V_SW_ON Not allowed                    	.PIN 18,PORT P0.12	5V_SW_ON Not allowed                    	.PIN 18,PORT P0.12
6 = Kein kritischer Ladezustand	6 = no critical charge state
6 Adaption Notlauf 2	6 Adaptation limp-home 2
6 Bytes of data	6 Bytes of data
6 Fehler	6 Fault
6 Feinleck Messung erweitert	6 Fine leak measurement extended
6 Funktion beendet	6 Function finished
6 Kopie Prozessüberwachung: MU incrementiert nicht ABC_CPM_MU	6 Copy process monitoring: MU does not increment ABC_CPM_MU
6 Ruhestrom 200 bis 1000mA aktiv, Standverbraucher Licht aktiv	6 quiescent current 200 to 1000mA active, standing load light active
6 Start verhindert	6 Start prevented
6 Systemtest SLS abgebrochen	6 System test SLS aborted
6 Systemtest SLS geprüft	6 System test SLS checked
6 Systemtest Sekundärluft abgebrochen	6 System test secondary air aborted
6 Systemtest ist beendet	6 System test finished
6 Tankentlüftung schliessen	6 Tank ventilation close
6 Timeout Fehler Minimum	6 Timeout error minimum
6 Volt	6 volts
6 Volt + AL_L + AL_R + BLK_L ein	6 volts + AL_L + AL_R + BLK_L on
6 Volt + AL_L + AL_R + BLK_R ein	6 volts + AL_L + AL_R + BLK_R on
6 Volt + AL_L + AL_R ein	6 volts + AL_L + AL_R on
6 Volt + AL_L + BLK_L ein	6 volts + AL_L + BLK_L on
6 Volt + AL_L + BLK_R ein	6 volts + AL_L + BLK_R on
6 Volt + AL_L ein	6 volts + AL_L on
6 Volt + AL_R + BLK_L ein	6 volts + AL_R + BLK_L on
6 Volt + AL_R + BLK_R ein	6 volts + AL_R + BLK_R on
6 Volt + AL_R ein	6 volts + AL_R on
6 Volt + BLK_L + BLK_R + AL_L + AL_R ein	6 volts + BLK_L + BLK_R + AL_L + AL_R on
6 Volt + BLK_L + BLK_R + AL_L ein	6 volts + BLK_L + BLK_R + AL_L on
6 Volt + BLK_L + BLK_R + AL_R ein	6 volts + BLK_L + BLK_R + AL_R on
6 Volt + BLK_L + BLK_R ein	6 volts + BLK_L + BLK_R on
6 Volt + BLK_L ein	6 volts + BLK_L on
6 Volt + BLK_R ein	6 volts + BLK_R on
6 WAKE UP	6 WAKE UP
6,5  ZIN	6.5  ZIN
6. Gang	6th gear
6. Programm	6th program
6.ter Gang	6th gear
6.ter Gang: Position nicht plausibel	6th gear: position not plausible
60% Taktung	60% duty cycle
600 W	600 W
6000-8000 U/min	6000-8000 rpm
62 km/h	62 km/h
62,5 Hz	62.5 Hz
64 °C	64 °C
65 km/h	65 km/h
65541 SL B2 Durchsatz hoch	65541 SL B2 flow rate high
6718 U/min bis 8397 U/min	6718 rpm to 8397 rpm
68 km/h	68 km/h
69 SLS grobe Undichtigkeit	69 SLS gross leakage
6: EmObjDesc_EM_Unavailable_LngsbschlSchwpkt	6: EmObjDesc_EM_Unavailable_LngsbschlSchwpkt
6: Missed_TemperatureInput	6: Missed_TemperatureInput
6: OutOfRange_FreeSpaceRadarLeftSegmentData_ExistenceProbability	6: OutOfRange_FreeSpaceRadarLeftSegmentData_ExistenceProbability
6: Unavailable_CollectiveDrivingLaneInput	6: Unavailable_CollectiveDrivingLaneInput
6: Unavailable_RoadGeometryInput	6: Unavailable_RoadGeometryInput
7 2. Referenzleck Messung	7 2nd reference leak measurement
7 Adaption unterer Ansschlag	7 Adaptation lower stop
7 Externe Ansteuerung gestartet	7 External actuation started
7 FGR Taste -	7 Cruise control button -
7 Funktion abgebrochen	7 Function aborted
7 Kopie Prozessüberwachung: MU incrementiert nicht Frage	7 Copy process monitoring: MU does not increment question
7 RAM Fehler	7 RAM fault
7 Ruhestrom über 1000mA aktiv, Standverbraucher Licht aktiv	7 quiescent current above 1000mA active, standing load light active
7 Sekundärluft externe Ansteuerung	7 Secondary air external actuation
7 Systemtest SLS beendet	7 System test SLS finished
7 Tankentlüftung warten auf offen	7 Tank ventilation waiting for open
7 Volt	7 volts
7 Volt + AL_L + AL_R + BLK_L ein	7 volts + AL_L + AL_R + BLK_L on
7 Volt + AL_L + AL_R + BLK_R ein	7 volts + AL_L + AL_R + BLK_R on
7 Volt + AL_L + AL_R ein	7 volts + AL_L + AL_R on
7 Volt + AL_L + BLK_L ein	7 volts + AL_L + BLK_L on
7 Volt + AL_L + BLK_R ein	7 volts + AL_L + BLK_R on
7 Volt + AL_L ein	7 volts + AL_L on
7 Volt + AL_R + BLK_L ein	7 volts + AL_R + BLK_L on
7 Volt + AL_R + BLK_R ein	7 volts + AL_R + BLK_R on
7 Volt + AL_R ein	7 volts + AL_R on
7 Volt + BLK_L + BLK_R + AL_L + AL_R ein	7 volts + BLK_L + BLK_R + AL_L + AL_R on
7 Volt + BLK_L + BLK_R + AL_L ein	7 volts + BLK_L + BLK_R + AL_L on
7 Volt + BLK_L + BLK_R + AL_R ein	7 volts + BLK_L + BLK_R + AL_R on
7 Volt + BLK_L + BLK_R ein	7 volts + BLK_L + BLK_R on
7 Volt + BLK_L ein	7 volts + BLK_L on
7 Volt + BLK_R ein	7 volts + BLK_R on
7 kein Text in Spec	7 no text in spec
7 nicht gestartet	7 not started
7. Gang	7th gear
70% Taktung	70% duty cycle
71 km/h	71 km/h
74 km/h	74 km/h
77 km/h	77 km/h
7: ComError_OdometryInput	7: ComError_OdometryInput
7: OutOfRange_FreeSpaceRadarRightSegmentData_Distance	7: OutOfRange_FreeSpaceRadarRightSegmentData_Distance
7: Unavailable_RoadForeSightStraightInput	7: Unavailable_RoadForeSightStraightInput
7: Unavailable_RoadNaviForesightInput	7: Unavailable_RoadNaviForesightInput
7: Winkelfehler	7: angle error
8 Adaption Notlauf	8 Adaptation limp-home
8 Drosselklappe Notlauf 3	8 Throttle valve limp-home 3
8 Externe Ansteuerung beendet	8 External actuation finished
8 Funktion durchlaufen und kein Fehler erkannt	8 Function completed and no fault detected
8 Programmablauf: MU ändert nicht die Kontrollbits	8 Program flow: MU does not change control bits
8 ROM Fehler	8 ROM fault
8 Sekundärluft externe Ansteuerung beendet	8 Secondary air external actuation ended
8 Systemtest SLS abgebrochen	8 System test SLS aborted
8 Tank geprüft	8 Tank checked
8 Volt	8 volts
8 Volt + AL_L + AL_R + BLK_L ein	8 volts + AL_L + AL_R + BLK_L on
8 Volt + AL_L + AL_R + BLK_R ein	8 volts + AL_L + AL_R + BLK_R on
8 Volt + AL_L + AL_R ein	8 volts + AL_L + AL_R on
8 Volt + AL_L + BLK_L ein	8 volts + AL_L + BLK_L on
8 Volt + AL_L + BLK_R ein	8 volts + AL_L + BLK_R on
8 Volt + AL_L ein	8 volts + AL_L on
8 Volt + AL_R + BLK_L ein	8 volts + AL_R + BLK_L on
8 Volt + AL_R + BLK_R ein	8 volts + AL_R + BLK_R on
8 Volt + AL_R ein	8 volts + AL_R on
8 Volt + BLK_L + BLK_R + AL_L + AL_R ein	8 volts + BLK_L + BLK_R + AL_L + AL_R on
8 Volt + BLK_L + BLK_R + AL_L ein	8 volts + BLK_L + BLK_R + AL_L on
8 Volt + BLK_L + BLK_R + AL_R ein	8 volts + BLK_L + BLK_R + AL_R on
8 Volt + BLK_L + BLK_R ein	8 volts + BLK_L + BLK_R on
8 Volt + BLK_L ein	8 volts + BLK_L on
8 Volt + BLK_R ein	8 volts + BLK_R on
8 keine Ruhestromverletzung, Standverbraucher Standheizung aktiv	8 no quiescent current violation, standing load auxiliary heater active
8 km/h	8 km/h
8,8  ZIN	8.8  ZIN
8. Gang	8th gear
80 Hz	80 Hz
80 km/h	80 km/h
80 °C	80 °C
80% Availability	80% availability
80% Taktung	80% duty cycle
800 Hz	800 Hz
8000-10000 U/min	8000-10000 rpm
80: Offsetbestimmung 1	80: offset determination 1
80° C	80° C
83 km/h	83 km/h
8397 U/min bis 10077 U/min	8397 rpm to 10077 rpm
840 U/min bis 1680 U/min	840 rpm to 1680 rpm
8485 ASV li. haengt offen	8485 ASR left stuck open
850 W	850 W
86 km/h	86 km/h
868 MHZ	868 MHZ
868 MHz	868 MHz
89 km/h	89 km/h
8: OutOfRange_FreeSpaceRadarRightSegmentData_StatusMeasurement	8: OutOfRange_FreeSpaceRadarRightSegmentData_StatusMeasurement
8: Reduced_OdometryInput	8: Reduced_OdometryInput
8: Unavailable_RoadNaviForesightStraightInput	8: Unavailable_RoadNaviForesightStraightInput
9 Adaption Notlauf 3	9 Adaptation limp-home 3
9 Bandendetest Sekundärluft aktiv	9 End-of-line test secondary air active
9 FGR Taste TIP	9 Cruise control button TIP
9 Fehler Level 2	9 Fault level 2
9 Feinleck	9 Fine leak
9 Funktion durchlaufen und Fehler erkannt	9 Function run through and fault detected
9 ROM Test Level 2	9 ROM test level 2
9 Ruhestrom 80 bis 200mA aktiv, Standverbraucher Standheizung aktiv	9 Quiescent current 80 to 200mA active, parking heater standing load active
9 SLP inaktiv	9 SLP inactive
9 Volt	9 Volt
9 Volt + AL_L + AL_R + BLK_L ein	9 Volt + AL_L + AL_R + BLK_L on
9 Volt + AL_L + AL_R + BLK_R ein	9 Volt + AL_L + AL_R + BLK_R on
9 Volt + AL_L + AL_R ein	9 Volt + AL_L + AL_R on
9 Volt + AL_L + BLK_L ein	9 Volt + AL_L + BLK_L on
9 Volt + AL_L + BLK_R ein	9 Volt + AL_L + BLK_R on
9 Volt + AL_L ein	9 Volt + AL_L on
9 Volt + AL_R + BLK_L ein	9 Volt + AL_R + BLK_L on
9 Volt + AL_R + BLK_R ein	9 Volt + AL_R + BLK_R on
9 Volt + AL_R ein	9 Volt + AL_R on
9 Volt + BLK_L + BLK_R + AL_L + AL_R ein	9 Volt + BLK_L + BLK_R + AL_L + AL_R on
9 Volt + BLK_L + BLK_R + AL_L ein	9 Volt + BLK_L + BLK_R + AL_L on
9 Volt + BLK_L + BLK_R + AL_R ein	9 Volt + BLK_L + BLK_R + AL_R on
